OBJECTID,nom_rio,OBJECTID_2,nom_rio_2
61533,RIERA D'EN MUÇ,61534,SIN NOMBRE
61534,SIN NOMBRE,61534,SIN NOMBRE
61536,SIN NOMBRE,61536,SIN NOMBRE
61536,SIN NOMBRE,61537,SIN NOMBRE
61537,SIN NOMBRE,61537,SIN NOMBRE
61538,TORRENT DE LA VILAPLANA,61539,SIN NOMBRE
61539,SIN NOMBRE,61539,SIN NOMBRE
61539,SIN NOMBRE,61540,SIN NOMBRE
61540,SIN NOMBRE,61540,SIN NOMBRE
61541,TORRENT DE MAS RIBES,61542,SIN NOMBRE
61541,TORRENT DE MAS RIBES,61543,SIN NOMBRE
61542,SIN NOMBRE,61542,SIN NOMBRE
61542,SIN NOMBRE,61543,SIN NOMBRE
61543,SIN NOMBRE,61542,SIN NOMBRE
61543,SIN NOMBRE,61543,SIN NOMBRE
61544,SIN NOMBRE,61544,SIN NOMBRE
61545,SIN NOMBRE,61545,SIN NOMBRE
61546,TORRENT DE CAN BORA,61547,SIN NOMBRE
61546,TORRENT DE CAN BORA,61552,SIN NOMBRE
61547,SIN NOMBRE,61547,SIN NOMBRE
61548,TORRENT DEL BAC,61549,SIN NOMBRE
61548,TORRENT DEL BAC,61550,SIN NOMBRE
61548,TORRENT DEL BAC,61551,SIN NOMBRE
61549,SIN NOMBRE,61549,SIN NOMBRE
61550,SIN NOMBRE,61550,SIN NOMBRE
61551,SIN NOMBRE,61551,SIN NOMBRE
61552,SIN NOMBRE,61552,SIN NOMBRE
61553,TORRENT DE CAN COMTE,61554,SIN NOMBRE
61554,SIN NOMBRE,61554,SIN NOMBRE
61556,TORRENT D'EN RIBERA,61557,SIN NOMBRE
61557,SIN NOMBRE,61557,SIN NOMBRE
61557,SIN NOMBRE,61558,SIN NOMBRE
61557,SIN NOMBRE,61559,SIN NOMBRE
61558,SIN NOMBRE,61558,SIN NOMBRE
61559,SIN NOMBRE,61559,SIN NOMBRE
61560,RIERA DE SANT CLIMENT,61565,SIN NOMBRE
61560,RIERA DE SANT CLIMENT,61566,SIN NOMBRE
61560,RIERA DE SANT CLIMENT,61567,SIN NOMBRE
61560,RIERA DE SANT CLIMENT,61568,SIN NOMBRE
61561,TORRENT DE LA FONT DEL MANY,61562,SIN NOMBRE
61561,TORRENT DE LA FONT DEL MANY,61563,SIN NOMBRE
61562,SIN NOMBRE,61562,SIN NOMBRE
61563,SIN NOMBRE,61563,SIN NOMBRE
61565,SIN NOMBRE,61565,SIN NOMBRE
61566,SIN NOMBRE,61566,SIN NOMBRE
61567,SIN NOMBRE,61567,SIN NOMBRE
61568,SIN NOMBRE,61568,SIN NOMBRE
61570,TORRENT DE LA CANOVA,61571,SIN NOMBRE
61570,TORRENT DE LA CANOVA,61572,SIN NOMBRE
61570,TORRENT DE LA CANOVA,61576,SIN NOMBRE
61571,SIN NOMBRE,61571,SIN NOMBRE
61572,SIN NOMBRE,61572,SIN NOMBRE
61573,TORRENT DE BASCARA,61574,SIN NOMBRE
61573,TORRENT DE BASCARA,61575,SIN NOMBRE
61574,SIN NOMBRE,61574,SIN NOMBRE
61574,SIN NOMBRE,61575,SIN NOMBRE
61575,SIN NOMBRE,61574,SIN NOMBRE
61575,SIN NOMBRE,61575,SIN NOMBRE
61576,SIN NOMBRE,61576,SIN NOMBRE
61577,SIN NOMBRE,61577,SIN NOMBRE
61578,RIERA DE SANT PERE,61579,SIN NOMBRE
61578,RIERA DE SANT PERE,61580,SIN NOMBRE
61578,RIERA DE SANT PERE,61581,SIN NOMBRE
61578,RIERA DE SANT PERE,61582,SIN NOMBRE
61578,RIERA DE SANT PERE,61583,SIN NOMBRE
61578,RIERA DE SANT PERE,61584,SIN NOMBRE
61578,RIERA DE SANT PERE,61585,SIN NOMBRE
61579,SIN NOMBRE,61579,SIN NOMBRE
61580,SIN NOMBRE,61580,SIN NOMBRE
61581,SIN NOMBRE,61581,SIN NOMBRE
61582,SIN NOMBRE,61582,SIN NOMBRE
61583,SIN NOMBRE,61583,SIN NOMBRE
61584,SIN NOMBRE,61584,SIN NOMBRE
61585,SIN NOMBRE,61585,SIN NOMBRE
61586,SIN NOMBRE,61586,SIN NOMBRE
61587,SIN NOMBRE,61587,SIN NOMBRE
61588,SIN NOMBRE,61588,SIN NOMBRE
61589,SIN NOMBRE,61589,SIN NOMBRE
61590,RIERA DE SANT AMANÇ,61591,SIN NOMBRE
