"OBJECTID","nom_rio"
60425,"Tram de_( RIERA DE BUIXALLEU )"
60426,"Tram de_( RIERA DE ARBUCIES )"
60427,"Tram de_( RIERA DE ARBUCIES )"
60430,"Tram de_( RIERA DE ARBUCIES )"
60431,"Tram de_( RIERA DE ARBUCIES )"
60432,"Tram de_( RIERA DE ARBUCIES )"
60434,"RIERA DE RUIDECOS O DE LA PINEDA"
60435,"Tram de_( RIERA DE RUIDECOS O DE LA PINEDA )"
60451,"SOT DE LA GENETA"
60452,"Tram de_( SOT DE LA GENETA )"
60453,"Tram de_( SOT DE LA GENETA )"
60506,"RIERA DE RAMIO"
60507,"Tram de_( RIERA DE RAMIO )"
60516,"REC DE GASERANS"
60517,"Tram de_( REC DE GASERANS )"
60518,"Tram de_( REC DE GASERANS )"
60519,"Tram de_( RIU TORDERA )"
60520,"Tram de_( RIU TORDERA )"
60523,"Tram de_( RIU TORDERA )"
60524,"RIERA DE RIPIAIX"
60525,"Tram de_( RIERA DE RIPIAIX )"
60528,"RIERA DE BREDA"
60529,"Tram de_( RIERA DE BREDA )"
60530,"Tram de_( RIERA DE BREDA )"
60546,"Tram de_( RIERA DE RIPIAIX )"
60547,"SOT DE CAMAFOSCA"
60548,"Tram de_( SOT DE CAMAFOSCA )"
60566,"Tram de_( RIU TORDERA )"
60567,"Tram de_( RIU TORDERA )"
60574,"RIERA DE BERENGUER"
60575,"Tram de_( RIERA DE BERENGUER )"
60580,"Tram de_( RIU TORDERA )"
60581,"Tram de_( RIU TORDERA )"
