"OBJECTID","nom_rio"
28058,"Tram de_( BARRANC DE LES CORRALISSES )"
28059,"Tram de_( RIO EBRO )"
28060,"Tram de_( RIO EBRO )"
28061,"BARRANC DEL BASSIOL"
28062,"Tram de_( BARRANC DEL BASSIOL )"
28063,"Tram de_( SIN NOMBRE )"
28064,"BARRANC DE BARRUGAT"
28065,"Tram de_( BARRANC DE BARRUGAT )"
28066,"BARRANC DE LA CONCA DE SANT JULIA"
28067,"Tram de_( BARRANC DE LA CONCA DE SANT JULIA )"
28069,"Tram de_( BARRANC DE LA CONCA DE SANT JULIA )"
28070,"Tram de_( BARRANC DE LA CONCA DE SANT JULIA )"
28071,"Tram de_( BARRANC DE LA CONCA DE SANT JULIA )"
28072,"Tram de_( BARRANC DE LA CONCA DE SANT JULIA )"
28074,"Tram de_( BARRANC DE LA CONCA DE SANT JULIA )"
28075,"BARRANC DEL LLOP O D'EN XIVEL.LI"
28076,"Tram de_( BARRANC DEL LLOP O D'EN XIVEL.LI )"
28077,"Tram de_( BARRANC DEL LLOP O D'EN XIVEL.LI )"
28078,"BARRANC DE LES FIGUERASSES"
28079,"Tram de_( BARRANC DE LES FIGUERASSES )"
28081,"Tram de_( BARRANC DEL LLOP O D'EN XIVEL.LI )"
28083,"BARRANC DELS FORNETS"
28084,"Tram de_( BARRANC DELS FORNETS )"
28087,"BARRANC DEL LLIGUERANS"
28089,"BARRANC DE L'ALBARDASSA"
28090,"Tram de_( BARRANC DE L'ALBARDASSA )"
28091,"Tram de_( BARRANC DEL LLIGUERANS )"
28092,"BARRANC DE VALLPALMERA"
28093,"Tram de_( BARRANC DE VALLPALMERA )"
28094,"Tram de_( BARRANC DE VALLPALMERA )"
28095,"Tram de_( BARRANC DE VALLPALMERA )"
28096,"BARRANC DE BOIX"
28097,"BARRANC DELS PARETS"
28098,"Tram de_( BARRANC DELS PARETS )"
28099,"Tram de_( BARRANC DELS PARETS )"
28100,"Tram de_( BARRANC DE BOIX )"
28101,"Tram de_( BARRANC DE BOIX )"
28102,"BARRANC DE LES CALOBRES"
28104,"Tram de_( BARRANC DE LES CALOBRES )"
28105,"BARRANC DE LA BOINACA"
28106,"BARRANC DEL BASSIOL"
28107,"Tram de_( BARRANC DEL BASSIOL )"
28108,"Tram de_( BARRANC DEL BASSIOL )"
28109,"Tram de_( BARRANC DEL BASSIOL )"
28112,"BARRANC DE LES SEVINES"
28113,"Tram de_( BARRANC DE LES SEVINES )"
28114,"BARRANC DELS SEGADELLS"
28115,"Tram de_( BARRANC DELS SEGADELLS )"
28116,"Tram de_( BARRANC DE LA BOINACA )"
28117,"Tram de_( RIO EBRO )"
28118,"BARRANC DE L'ARGILA"
